"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"811",0,0,0,0,0,0,0,0,0,0,0
"812",0,1,0,0,2,0,1,2,0,3,3
"813",0,1,0,0,1,0,1,1,0,1,1
"814",0,1,0,0,2,0,1,1,0,2,2
"815",0,2,0,0,1,0,0,1,0,3,3
"816",0,2,0,0,1,1,1,0,0,2,2
"817",0,0,0,0,0,0,0,0,0,0,0
"818",0,1,0,0,1,0,1,1,0,1,1
"819",0,0,0,0,0,0,0,0,0,0,0
"820",0,0,0,1,0,1,0,0,1,0,-1
"821",0,0,0,0,0,0,0,0,0,2,2
"822",1,0,1,1,0,1,0,0,1,0,-1
"823",0,1,0,0,1,0,1,1,0,1,1
"824",0,1,0,0,1,0,0,1,0,2,2
"825",0,0,0,0,0,0,0,0,0,0,0
"826",0,0,0,0,0,0,0,0,0,0,0
"827",0,0,0,0,1,0,0,0,0,2,2
"828",0,0,0,0,0,0,0,0,0,0,0
"829",0,1,0,0,0,0,0,1,1,2,1
"830",0,2,0,0,1,0,1,1,0,2,2
"831",0,0,0,0,1,0,0,1,0,1,1
"832",0,0,0,0,0,0,0,0,0,0,0
"833",0,0,0,0,0,0,0,0,0,0,0
"834",0,0,0,0,0,0,0,0,0,0,0
"835",0,0,0,0,0,0,0,1,0,2,2
"836",0,1,0,0,1,0,1,1,0,1,1
"837",0,0,0,0,0,0,0,0,0,0,0
"838",0,1,0,0,0,0,0,0,0,0,0
"839",0,0,0,0,0,0,0,0,0,0,0
"840",0,0,0,0,1,0,0,0,0,1,1
"841",0,1,0,0,1,0,1,1,0,1,1
"842",0,2,0,0,1,0,1,1,0,1,1
"843",0,1,0,0,1,0,1,1,0,1,1
"844",1,1,0,0,1,0,1,1,0,2,2
"845",0,0,0,0,0,0,0,0,0,0,0
"846",0,0,0,0,0,0,0,0,0,1,1
"847",0,0,0,0,0,0,0,0,0,0,0
"848",0,0,0,0,0,0,0,0,0,0,0
"849",0,0,0,0,0,0,0,0,0,0,0
"850",0,1,0,0,1,1,1,1,0,1,1
"851",0,0,0,0,0,0,0,0,0,1,1
"852",0,0,0,0,0,0,0,0,0,0,0
"853",0,0,0,0,0,0,0,0,0,0,0
"854",1,1,1,0,1,0,1,1,1,2,1
"855",0,0,0,0,0,0,0,0,0,0,0
"856",0,0,0,0,0,0,0,1,0,1,1
"857",0,1,0,0,1,0,1,1,0,2,2
"858",0,1,0,0,1,0,0,1,0,2,2
"859",0,1,0,0,1,0,1,1,0,1,1
"860",0,0,0,0,0,0,0,0,0,0,0
"861",0,1,0,0,1,0,1,1,0,1,1
"862",0,0,0,0,0,0,0,1,1,1,0
"863",0,1,0,0,1,0,1,1,0,1,1
"864",0,1,0,0,1,0,1,1,0,1,1
"865",0,1,0,0,1,0,1,1,0,1,1
"866",0,0,0,0,0,0,0,0,0,0,0
"867",1,0,1,0,0,0,0,0,1,1,0
"868",0,3,0,0,2,0,0,2,0,4,4
"869",0,0,0,0,0,0,0,0,0,0,0
"870",0,0,0,0,0,0,0,0,0,0,0
"871",0,0,0,0,0,0,0,0,0,0,0
"872",0,0,0,0,0,0,0,0,0,0,0
"873",0,0,0,0,0,0,0,0,0,0,0
"874",0,0,0,0,0,0,0,0,0,0,0
"875",0,1,0,0,1,0,1,1,0,2,2
"876",0,0,0,0,0,0,0,0,0,0,0
"877",0,0,0,0,1,0,0,1,0,1,1
"878",0,0,0,0,0,0,0,0,0,0,0
"879",0,0,0,0,0,0,0,0,0,0,0
"880",0,0,0,0,1,0,0,1,0,1,1
"881",0,0,0,0,2,0,0,1,0,2,2
"882",0,0,0,0,0,0,0,0,0,0,0
"883",0,0,0,0,0,0,0,0,0,0,0
"884",0,1,0,0,1,0,1,1,0,1,1
"885",0,0,0,0,0,0,0,0,0,0,0
"886",0,0,0,0,0,0,0,0,0,0,0
"887",0,0,0,0,0,0,0,1,0,0,0
"888",0,1,0,0,1,0,1,1,0,1,1
"889",0,0,0,0,0,0,0,0,0,0,0
"890",0,0,0,0,0,0,0,0,0,0,0
"891",0,0,0,0,0,0,0,0,0,0,0
"892",0,0,0,0,0,0,0,0,0,0,0
"893",0,1,0,0,1,0,1,1,0,1,1
"894",0,1,0,0,1,0,1,1,0,1,1
"895",0,0,0,0,1,0,0,0,0,1,1
"896",0,0,0,0,0,0,0,0,1,1,0
"897",0,1,0,0,1,1,1,1,0,1,1
"898",0,0,0,0,0,0,0,0,0,0,0
"899",0,0,0,0,0,0,0,0,0,0,0
"900",0,1,0,0,1,0,1,2,0,2,2
"901",0,0,0,0,0,0,0,0,0,0,0
"902",0,0,0,0,0,0,0,0,0,0,0
"903",0,0,0,0,2,0,0,1,1,2,1
"904",0,0,0,0,0,0,0,0,0,0,0
"905",0,1,0,0,1,0,1,1,0,1,1
"906",0,0,0,0,0,0,0,0,0,0,0
"907",0,0,0,0,1,0,0,1,1,2,1
"908",0,2,0,0,1,0,1,1,0,2,2
"909",0,0,0,0,0,0,0,1,0,1,1
"910",0,1,0,0,1,0,1,2,0,2,2
"911",0,0,0,0,1,0,1,0,0,1,1
"912",0,2,0,0,1,0,1,1,0,2,2
"913",0,0,0,0,0,0,0,0,0,0,0
"914",0,0,0,0,0,0,0,0,0,1,1
"915",0,0,0,0,0,0,0,0,0,0,0
"916",0,0,0,0,1,0,1,2,0,2,2
"917",0,0,0,0,0,0,0,0,0,1,1
"918",0,0,0,0,1,0,0,0,0,1,1
"919",0,0,0,0,0,0,0,0,0,0,0
"920",0,1,0,0,1,0,1,1,0,1,1
