,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
503,0,1,0,1,2,0,0,1,0,4,4,Subconcious
504,0,1,0,0,1,0,0,1,0,2,2,Subconcious
505,0,1,0,0,0,0,0,1,0,0,0,Subconcious
506,0,0,0,0,0,0,0,0,1,0,-1,Subconcious
507,0,0,0,0,1,0,0,2,0,2,2,Subconcious
508,0,0,0,0,1,0,0,1,0,2,2,Subconcious
509,0,1,0,0,1,0,0,2,0,2,2,Subconcious
510,0,1,0,0,0,0,0,1,1,0,-1,Subconcious
511,0,0,1,0,0,1,0,0,0,1,1,Subconcious
512,0,0,0,1,0,0,0,0,0,0,0,Subconcious
513,1,1,0,1,1,1,0,2,2,3,1,Subconcious
514,0,0,0,0,0,0,0,0,0,1,1,Subconcious
515,0,0,0,0,0,0,0,1,0,3,3,Subconcious
516,1,4,2,1,4,1,1,4,2,8,6,Subconcious
517,0,1,0,0,1,0,1,2,0,2,2,Subconcious
518,0,1,0,0,2,0,1,2,0,2,2,Subconcious
519,0,0,0,1,1,0,0,1,0,3,3,Subconcious
