,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
445,0,0,0,0,0,0,0,0,0,1,1,Death
446,1,1,1,1,0,1,0,0,1,1,0,Death
447,0,0,0,0,1,0,0,1,0,3,3,Death
448,1,2,1,1,1,1,2,1,1,5,4,Death
449,1,0,0,0,0,0,0,1,1,1,0,Death
450,0,1,0,0,1,0,1,1,0,2,2,Death
451,0,0,0,1,0,1,0,0,1,0,-1,Death
452,0,0,0,0,0,0,0,0,0,1,1,Death
453,0,0,0,0,0,0,0,0,0,0,0,Death
454,0,0,0,1,0,1,0,0,1,0,-1,Death
455,0,0,0,0,0,0,0,0,0,0,0,Death
456,1,1,1,1,0,1,1,0,1,0,-1,Death
457,1,1,1,1,0,2,1,1,2,1,-1,Death
458,2,1,0,2,0,1,0,0,2,0,-2,Death
459,2,2,1,1,0,1,1,1,1,0,-1,Death
460,1,1,1,1,1,1,1,0,1,1,0,Death
461,0,1,0,0,0,0,0,0,0,0,0,Death
462,0,1,0,1,0,1,0,0,1,1,0,Death
463,0,0,0,0,0,0,0,1,0,1,1,Death
464,1,1,1,1,0,1,0,0,1,1,0,Death
465,0,0,0,0,1,0,0,1,0,2,2,Death
466,0,0,0,0,0,0,0,0,1,0,-1,Death
467,0,1,0,0,1,0,1,1,0,1,1,Death
468,0,1,0,0,1,0,1,2,0,3,3,Death
469,0,0,0,0,0,0,0,0,0,0,0,Death
470,2,1,2,1,0,2,1,0,2,0,-2,Death
471,0,0,0,0,0,0,0,0,0,1,1,Death
472,0,1,0,0,1,0,0,1,0,2,2,Death
473,0,0,0,0,0,0,0,1,0,1,1,Death
474,1,1,1,1,1,1,1,1,1,2,1,Death
475,0,0,0,0,1,0,0,0,0,2,2,Death
476,2,2,2,1,0,1,1,0,2,1,-1,Death
477,0,0,0,0,0,0,0,0,0,1,1,Death
478,0,0,0,0,0,0,0,1,0,1,1,Death
479,0,0,0,1,0,1,0,0,1,0,-1,Death
480,0,1,0,0,1,0,1,1,0,1,1,Death
481,0,0,0,0,0,0,0,0,0,0,0,Death
482,0,0,0,0,0,0,0,0,0,0,0,Death
483,0,0,0,1,0,1,0,0,1,0,-1,Death
484,3,2,2,5,1,3,2,1,4,2,-2,Death
485,1,2,2,1,2,1,2,1,1,4,3,Death
486,0,2,0,0,1,0,1,1,0,1,1,Death
487,2,1,1,2,0,1,1,0,2,0,-2,Death
488,0,1,0,0,0,0,0,1,0,2,2,Death
489,0,0,0,0,0,0,0,0,0,1,1,Death
490,1,1,1,1,0,1,1,0,1,0,-1,Death
491,0,0,0,0,0,0,0,0,0,0,0,Death
492,0,0,0,0,0,0,0,0,0,0,0,Death
493,0,0,0,1,0,1,0,1,1,0,-1,Death
494,1,1,1,1,0,1,1,0,1,1,0,Death
495,0,0,0,0,0,0,0,0,0,0,0,Death
496,0,0,0,0,0,0,0,1,1,0,-1,Death
497,1,1,1,1,0,1,1,0,1,0,-1,Death
498,0,0,0,0,1,0,0,1,0,1,1,Death
499,1,1,1,2,0,2,1,0,2,0,-2,Death
500,0,0,0,0,0,0,0,0,0,0,0,Death
501,0,1,0,0,1,0,1,1,0,1,1,Death
502,0,0,0,0,1,0,0,0,0,1,1,Death
503,1,0,0,0,0,0,0,0,1,0,-1,Death
504,0,0,0,1,0,1,0,0,1,1,0,Death
505,0,1,0,0,2,0,0,0,0,4,4,Death
506,0,0,0,0,0,0,0,0,1,2,1,Death
507,0,0,0,0,0,0,0,1,0,1,1,Death
508,0,0,0,0,0,0,0,0,0,0,0,Death
509,0,0,0,0,0,0,0,0,0,0,0,Death
510,1,1,1,1,1,1,1,0,1,1,0,Death
511,0,0,0,0,0,0,0,0,0,0,0,Death
512,0,1,0,0,1,0,1,1,0,2,2,Death
513,0,0,0,0,1,0,0,1,0,1,1,Death
514,0,0,0,1,0,1,0,0,1,0,-1,Death
515,0,0,0,0,0,0,0,0,0,0,0,Death
516,0,0,0,0,0,0,0,0,1,1,0,Death
517,0,1,0,1,2,1,1,1,1,2,1,Death
518,1,0,0,0,0,0,0,1,1,2,1,Death
519,1,1,2,2,1,1,1,0,2,1,-1,Death
520,0,0,0,0,0,0,0,0,0,0,0,Death
521,0,1,0,0,1,0,0,0,0,1,1,Death
522,1,1,1,1,0,1,2,0,1,0,-1,Death
523,1,0,1,0,0,0,0,0,1,0,-1,Death
524,0,1,0,0,1,0,1,1,0,1,1,Death
525,1,0,2,2,0,3,1,0,3,0,-3,Death
526,0,0,0,0,0,0,0,0,0,0,0,Death
527,0,3,0,0,2,0,1,1,1,4,3,Death
528,0,0,0,0,0,0,0,0,0,2,2,Death
529,0,0,0,0,1,0,0,1,0,1,1,Death
530,0,0,0,0,2,0,0,1,0,2,2,Death
531,0,1,0,0,1,0,0,1,0,1,1,Death
532,0,0,0,0,0,0,0,0,0,0,0,Death
533,1,1,1,1,0,1,1,0,1,0,-1,Death
534,0,0,0,0,0,0,0,1,0,1,1,Death
535,0,1,0,0,1,0,1,1,0,1,1,Death
536,0,0,0,0,1,0,0,0,0,1,1,Death
537,1,1,1,1,0,1,1,0,1,0,-1,Death
538,0,0,0,0,0,0,0,0,0,0,0,Death
539,1,3,1,2,0,1,1,0,2,0,-2,Death
540,0,0,0,0,1,0,0,1,1,1,0,Death
541,1,2,1,1,1,1,2,1,1,1,0,Death
542,0,1,0,0,0,0,1,1,0,1,1,Death
543,2,1,1,2,0,1,1,0,2,0,-2,Death
544,0,0,0,0,0,0,0,0,0,0,0,Death
545,1,2,1,2,0,1,1,0,2,0,-2,Death
546,0,1,0,0,0,0,1,0,0,1,1,Death
547,0,0,0,0,0,0,0,0,0,0,0,Death
548,0,0,0,0,0,0,0,0,0,0,0,Death
549,0,0,0,0,1,0,0,1,1,1,0,Death
550,0,0,0,0,0,0,0,0,0,0,0,Death
551,1,2,1,1,0,1,1,0,1,0,-1,Death
552,0,0,0,0,0,0,0,0,0,1,1,Death
553,0,0,0,0,0,0,0,0,0,0,0,Death
554,0,0,0,0,0,0,0,0,0,0,0,Death
555,0,0,0,0,1,0,0,1,1,1,0,Death
556,1,0,0,1,1,1,1,1,1,1,0,Death
557,0,2,0,0,2,0,0,1,0,3,3,Death
558,1,1,1,1,0,1,1,0,1,1,0,Death
559,0,0,0,0,0,0,0,2,0,2,2,Death
560,0,0,0,0,1,0,0,1,0,2,2,Death
561,0,1,0,0,1,0,1,1,0,1,1,Death
562,0,1,0,0,1,0,1,1,0,1,1,Death
563,0,0,0,0,1,0,0,0,0,1,1,Death
564,0,0,0,0,0,0,0,0,0,0,0,Death
565,0,0,0,0,0,0,0,0,0,0,0,Death
566,0,1,0,0,0,0,0,0,0,0,0,Death
567,1,0,1,1,1,1,0,1,1,2,1,Death
568,0,1,0,0,1,0,0,2,0,2,2,Death
569,0,0,0,0,0,0,0,0,0,0,0,Death
570,0,0,0,0,0,0,0,0,0,0,0,Death
571,0,1,0,1,1,0,0,0,0,2,2,Death
572,0,0,0,0,0,0,0,0,0,0,0,Death
573,0,0,0,0,0,0,0,0,0,0,0,Death
574,0,0,0,0,0,0,0,0,0,0,0,Death
575,0,0,0,1,0,1,0,0,1,0,-1,Death
576,0,0,0,0,0,0,0,0,0,0,0,Death
577,0,1,0,0,1,0,1,1,0,1,1,Death
578,0,0,0,0,0,0,0,1,0,3,3,Death
579,0,0,0,0,0,0,0,0,0,0,0,Death
580,0,0,0,1,0,0,1,0,1,1,0,Death
581,1,2,1,1,2,1,2,2,1,3,2,Death
582,0,0,0,0,1,0,0,1,0,1,1,Death
583,1,1,1,1,0,1,1,0,1,0,-1,Death
584,1,1,1,1,0,1,1,0,1,2,1,Death
585,0,0,0,0,0,0,0,0,0,0,0,Death
586,0,0,0,0,0,0,0,0,0,1,1,Death
587,0,1,0,0,1,0,0,1,0,1,1,Death
588,0,0,0,1,0,1,0,0,1,0,-1,Death
589,0,0,0,0,0,0,0,0,0,0,0,Death
590,0,0,0,0,0,0,0,0,0,0,0,Death
591,0,0,0,0,0,0,0,0,0,0,0,Death
592,0,1,0,0,1,0,1,1,0,1,1,Death
593,0,0,0,1,0,1,0,0,1,0,-1,Death
594,0,1,0,0,1,0,1,1,0,1,1,Death
595,0,0,0,0,2,0,1,2,0,2,2,Death
596,0,0,0,0,0,0,0,0,0,0,0,Death
597,0,0,0,0,0,0,0,0,0,0,0,Death
598,1,0,0,0,0,0,0,0,1,0,-1,Death
599,0,0,0,0,0,0,0,0,0,1,1,Death
600,0,0,0,0,0,0,0,0,0,0,0,Death
601,0,0,0,0,0,0,0,0,0,0,0,Death
602,0,0,0,0,0,0,0,0,0,1,1,Death
603,0,0,0,0,1,0,0,2,0,2,2,Death
604,0,0,1,0,1,1,0,1,0,2,2,Death
605,0,0,0,0,0,0,0,1,0,1,1,Death
606,0,0,0,0,0,0,0,0,0,0,0,Death
607,1,1,1,1,0,1,1,0,1,0,-1,Death
608,0,0,0,0,0,0,0,0,0,0,0,Death
609,0,0,0,0,0,0,1,0,0,0,0,Death
610,0,0,0,0,0,0,0,0,0,0,0,Death
611,0,0,0,0,0,0,0,0,0,0,0,Death
612,0,1,0,0,1,0,1,1,0,1,1,Death
613,0,0,0,0,0,0,0,0,0,0,0,Death
614,0,0,0,0,0,0,0,0,0,1,1,Death
615,0,0,0,0,0,0,0,0,0,0,0,Death
616,0,0,0,0,0,0,0,0,0,0,0,Death
617,0,0,0,0,0,0,0,0,0,2,2,Death
618,0,1,0,0,0,1,0,0,0,0,0,Death
619,0,0,0,0,0,0,0,0,0,0,0,Death
620,0,1,0,0,2,0,0,2,0,2,2,Death
621,0,1,0,0,1,0,1,1,0,1,1,Death
622,1,2,1,1,1,1,2,1,1,1,0,Death
623,0,0,0,0,0,0,0,0,0,0,0,Death
624,0,1,0,0,1,0,1,1,0,1,1,Death
625,0,0,0,0,0,0,0,0,0,0,0,Death
626,0,0,0,0,0,0,0,0,0,0,0,Death
627,0,0,0,0,1,0,0,1,0,1,1,Death
