,score,Book
1025,7,Ikigai
1026,1,Ikigai
1027,1,Ikigai
1028,1,Ikigai
1029,7,Ikigai
1030,1,Ikigai
1031,4,Ikigai
1032,7,Ikigai
1033,0,Ikigai
1034,2,Ikigai
1035,0,Ikigai
1036,2,Ikigai
1037,2,Ikigai
1038,8,Ikigai
1039,3,Ikigai
1040,-6,Ikigai
1041,6,Ikigai
1042,2,Ikigai
1043,4,Ikigai
1044,3,Ikigai
1045,5,Ikigai
1046,2,Ikigai
1047,5,Ikigai
1048,-1,Ikigai
1049,2,Ikigai
1050,4,Ikigai
1051,4,Ikigai
1052,8,Ikigai
1053,9,Ikigai
1054,3,Ikigai
1055,2,Ikigai
1056,6,Ikigai
1057,1,Ikigai
1058,3,Ikigai
1059,4,Ikigai
1060,2,Ikigai
1061,-1,Ikigai
1062,2,Ikigai
1063,1,Ikigai
1064,3,Ikigai
1065,2,Ikigai
1066,1,Ikigai
1067,3,Ikigai
1068,1,Ikigai
1069,1,Ikigai
1070,7,Ikigai
1071,2,Ikigai
1072,1,Ikigai
1073,0,Ikigai
1074,5,Ikigai
1075,1,Ikigai
1076,5,Ikigai
1077,4,Ikigai
1078,3,Ikigai
1079,1,Ikigai
1080,1,Ikigai
1081,0,Ikigai
1082,2,Ikigai
1083,0,Ikigai
1084,2,Ikigai
1085,7,Ikigai
1086,2,Ikigai
1087,0,Ikigai
1088,1,Ikigai
1089,6,Ikigai
1090,4,Ikigai
1091,1,Ikigai
1092,2,Ikigai
1093,4,Ikigai
1094,5,Ikigai
1095,4,Ikigai
1096,1,Ikigai
1097,1,Ikigai
1098,2,Ikigai
1099,3,Ikigai
1100,1,Ikigai
1101,6,Ikigai
1102,2,Ikigai
1103,2,Ikigai
1104,0,Ikigai
1105,0,Ikigai
1106,1,Ikigai
1107,5,Ikigai
1108,3,Ikigai
1109,5,Ikigai
1110,3,Ikigai
1111,2,Ikigai
1112,2,Ikigai
1113,3,Ikigai
1114,1,Ikigai
1115,1,Ikigai
1116,2,Ikigai
1117,0,Ikigai
1118,0,Ikigai
1119,3,Ikigai
